State name,# of manufacturers,,,,,,
Alabama,322,,,,,,
Alaska,175,,,,,,
Arizona,363,,,,,,
Arkansas,288,,,,,,
California,5639,,,,,,
Colorado,882,,,,,,
Connecticut,363,,,,,,
Delaware,83,,,,,,
District of Columbia,37,,,,,,
Florida,1246,,,,,,
Georgia,678,,,,,,
Hawaii,287,,,,,,
Idaho,279,,,,,,
Illinois,1410,,,,,,
Indiana,620,,,,,,
Iowa,559,,,,,,
Kansas,328,,,,,,
Kentucky,369,,,,,,
Louisiana,385,,,,,,
Maine,284,,,,,,
Maryland,427,,,,,,
Massachusetts,752,,,,,,
Michigan,1026,,,,,,
Minnesota,796,,,,,,
Mississippi,209,,,,,,
Missouri,642,,,,,,
Montana,234,,,,,,
Nebraska,315,,,,,,
Nevada,234,,,,,,
New Hampshire,155,,,,,,
New Jersey,1058,,,,,,
New Mexico,204,,,,,,
New York,2578,,,,,,
North Carolina,830,,,,,,
North Dakota,132,,,,,,
Ohio,1076,,,,,,
Oklahoma,324,,,,,,
Oregon,1074,,,,,,
Pennsylvania,1528,,,,,,
Rhode Island,163,,,,,,
South Carolina,289,,,,,,
South Dakota,145,,,,,,
Tennessee,472,,,,,,
Texas,2252,,,,,,
Utah,364,,,,,,
Vermont,264,,,,,,
Virginia,659,,,,,,
Washington,1354,,,,,,
West Virginia,118,,,,,,
Wisconsin,1104,,,,,,
Wyoming,82,,,,,,